T,P,z_carbon dioxide,z_argon,z_methane,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_argon,x_methane,x_hydrogen sulfide,y_carbon dioxide,y_argon,y_methane,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_methane,rhoL4_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_methane,rhoV4_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4540206488,0.97,0.01407,0.01261,0.00332,0.02778627237415639,0.00015356478068594882,0.9898675448724746,0.00015473086833034128,0.00046599072748065287,0.009511733531714474,0.9660532837185926,0.01683428816920484,0.015022424857981258,0.0020900032542213905,0.027504729216164054,4.299394052116592e-06,1.2948145277608705e-05,0.0002642956186626149,0.00014835176064518637,2.5851537707080044e-06,2.3069153786870377e-06,3.209508913674272e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.981335327348297,-0.010407287526728481,-0.022817837373860783
200.0,2.6150923938,0.97,0.01407,0.01261,0.00332,0.02777233861628445,0.00016371359381455537,0.9938910220925915,0.0004589112038637418,0.0013172150379912597,0.004332851665553477,0.912884376825184,0.046609663462960346,0.03960735691443396,0.000898602797421711,0.0276026780132405,1.2745037348510583e-05,3.658214206555525e-05,0.00012033342362988324,0.00014945158206721167,7.630635512008213e-06,6.484262741957763e-06,1.4711349337772118e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.8425086233086,-0.009174680033151361,-0.044480187341253696
200.0,2.7761641389,0.97,0.01407,0.01261,0.00332,0.02776548079063663,0.00017385542493593905,0.9931676061422209,0.0007961750981914069,0.002168212750525957,0.0038680060090617798,0.8617404811643529,0.07609703413364725,0.0614032528062173,0.0007592318957825464,0.0275757760902244,2.2106184394816742e-05,6.020146947474187e-05,0.0001073970465426719,0.00014981825753732916,1.3229882205669902e-05,1.0675288609073801e-05,1.3199658386619319e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.75690679373958,-0.012843451344952683,-0.0715847176686637
200.0,2.937235884,0.97,0.01407,0.01261,0.00332,0.027759385041558404,0.00018400878296416745,0.9921796743328466,0.001149967005758457,0.0029716100833369714,0.0036987485780579457,0.8159471723529598,0.10380836072553884,0.07955513176091761,0.0006893351605837688,0.02754229761021351,3.192237689793702e-05,8.249006849672845e-05,0.00010267498595022716,0.00015014144614772191,1.910165011861168e-05,1.4638842973880433e-05,1.2684372395342825e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.677281301647565,-0.017213198796266482,-0.0986502797920572
200.0,3.098307629,0.97,0.01407,0.01261,0.00332,0.027753734594033453,0.00019417421608553686,0.9911442022245548,0.0015190609536278126,0.0037264494535863227,0.00361028736823117,0.7748441763014976,0.12991210280300827,0.09460300242405599,0.000640718471438212,0.027507953132955315,4.215961453914567e-05,0.00010342288911291578,0.00010019895742607942,0.0001504547605217868,2.5225580721797808e-05,1.8369463835029216e-05,1.2441100692303826e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.601247089428878,-0.02208066320810076,-0.12544138857066045
200.0,3.2593793741,0.97,0.01407,0.01261,0.00332,0.027748450355204204,0.00020435161644253625,0.990108002441304,0.0019027515873600662,0.004433933259938568,0.003555312711397308,0.7377754777510399,0.15458785889511176,0.1070342571149819,0.000602406238866392,0.027473962752032927,5.279840796014679e-05,0.0001230347769416941,9.865441826943465e-05,0.00015076561145008945,3.1590278847606796e-05,2.187262345617259e-05,1.2310268866741582e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.52819116573858,-0.027396811128816978,-0.15192993131960364
200.0,3.4204511192,0.97,0.01407,0.01261,0.00332,0.027743495710638888,0.00021454080292994962,0.989086328683954,0.0023003705457660937,0.005095867918288551,0.0035174328519913096,0.7041856345407099,0.1779850533805031,0.11725894974572112,0.0005703623330657369,0.027440712317294842,6.382032036934166e-05,0.00014137718973302073,9.75858832416812e-05,0.00015107655144609998,3.818505626178308e-05,2.515682922916962e-05,1.2236599289692255e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.45781849053886,-0.03313688609221188,-0.17812391024334673
200.0,3.5815228642,0.97,0.01407,0.01261,0.00332,0.027738845862979047,0.00022474160877514803,0.9880849466241962,0.002711226110417135,0.005714360159205631,0.0034894671061809052,0.6736121327913982,0.20022497392366934,0.1256202304375769,0.0005426628473555572,0.027408336033938458,7.520628317654512e-05,0.00015850975566175342,9.679379020228767e-05,0.0001513886744139975,4.499888275656751e-05,2.8232092683245847e-05,1.2195892133719052e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.389923796707812,-0.03928128156690036,-0.20404095411225853
200.0,3.7425946093,0.97,0.01407,0.01261,0.00332,0.027734480128081194,0.00023495389964642066,0.9871059344462878,0.003134602288311085,0.00629169131534398,0.003467771950056998,0.6456692408016442,0.22140657393020546,0.1324059608098896,0.0005182244582605729,0.027376869923211585,8.693656487460163e-05,0.00017449678775742866,9.617685223757318e-05,0.00015170250600809014,5.202033795225531e-05,3.110929682871471e-05,1.2175885736047537e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.324334237955895,-0.04580835624040702,-0.22969860796616004
200.0,3.9036663544,0.97,0.01407,0.01261,0.00332,0.02773037957226225,0.0002451775759169328,0.9861496961143017,0.003569768373021942,0.006830234807655768,0.003450300705020543,0.620033513485313,0.24161169143960945,0.1378584321022811,0.0004963629727965585,0.027346305388320658,9.89910319689555e-05,0.0001894050037839721,9.56781481886637e-05,0.0001520183138235879,5.923776882035339e-05,3.379979620254635e-05,1.2169707044518267e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.260891856750995,-0.05269708561335662,-0.25511557512096417
